geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
24686,25.732117,-113.794069,San Nadia los altos,Puebla
24695,27.967063,-100.946431,Nueva Bosnia y Herzegovina,San Luis Potosí
16504,19.506091,-116.270603,San Karla los bajos,San Luis Potosí
16504,30.950056,-113.761357,Vieja Marruecos,Guanajuato
16504,14.61053,-94.505209,Nueva Montenegro,Morelos
82041,21.325181,-89.772651,Nueva Liberia,Guanajuato
8311,29.696946,-89.971853,Nueva Irlanda,Nuevo León
8311,21.620635,-109.623834,Vieja República Popular Democrática de Corea,México
8311,27.105755,-95.905125,San Porfirio de la Montaña,Jalisco
65664,17.168924,-92.418744,Nueva Israel,Zacatecas
65664,19.409532,-107.535634,Nueva República de Macedonia del Norte,Tabasco
65664,15.428712,-91.130512,San Claudio los bajos,Nayarit
41090,26.966897,-93.82714,Nueva Belarús,Campeche
82053,22.342365,-90.683926,Nueva Comoras,Sonora
82053,20.946735,-99.966545,San Alberto los bajos,México
82059,22.988376,-114.443413,San Antonia los altos,Baja California Sur
82059,29.892196,-100.796927,San Omar los altos,Michoacán de Ocampo
82059,28.631956,-110.755793,San Conchita los bajos,Tlaxcala
16524,23.067952,-101.209157,Vieja Santa Lucía,Quintana Roo
49297,15.283417,-110.499759,San Minerva de la Montaña,México
49297,15.783805,-95.24294,San Julio los altos,Sonora
41109,26.514085,-112.093943,Vieja Nueva Zelandia,Nayarit
8343,31.033214,-101.965748,Vieja República Árabe Siria,Guanajuato
82073,31.385649,-89.511485,Vieja Chipre,Baja California Sur
49316,23.471039,-107.817235,Nueva Tuvalu,Querétaro
49316,18.076202,-91.065542,San Mauricio los bajos,Aguascalientes
32943,23.380162,-89.64491,Nueva Nauru,Aguascalientes
32943,24.444845,-88.797874,San Guillermina los bajos,Coahuila de Zaragoza
41135,22.082462,-114.672116,San Rubén los bajos,Sonora
41135,26.615038,-112.862449,Nueva Pakistán,Hidalgo
41135,18.608657,-115.105671,San Andrés de la Montaña,Michoacán de Ocampo
41143,23.791462,-92.173055,San Fidel los bajos,Sinaloa
41143,15.005029,-100.099206,Vieja Bahamas,Jalisco
90295,20.849155,-106.594344,San Jesús los altos,Coahuila de Zaragoza
90295,24.475522,-95.189658,San Emilia los bajos,Colima
90295,24.124658,-110.233137,Vieja Timor-Leste,Colima
24761,28.339097,-114.051102,San Florencia de la Montaña,Puebla
24761,32.162597,-105.872712,Vieja Vanuatu,México
82108,31.671351,-91.294189,San Pamela de la Montaña,Baja California
82108,24.632628,-111.073725,San Ramón los altos,Querétaro
41148,18.78403,-114.487743,San Omar los altos,Durango
41148,30.219224,-111.614069,Vieja Kazajstán,México
41148,16.215517,-90.449146,Nueva Djibouti,Hidalgo
49343,21.688864,-99.480398,Vieja Alemania,Aguascalientes
49343,30.449745,-116.832552,Nueva Djibouti,Chiapas
16577,19.007637,-93.523775,Nueva Iraq,Campeche
16577,25.253339,-101.73428,San Julio César los bajos,Durango
16577,25.053988,-117.095306,Vieja Dominicana,Baja California
82117,20.253131,-96.134807,San Jaqueline de la Montaña,Distrito Federal
82117,19.569425,-88.316975,San Carolina los bajos,Veracruz de Ignacio de la Llave
90320,24.064155,-102.746281,Vieja Liberia,Tamaulipas
41170,24.441562,-86.847926,Vieja El Salvador,Zacatecas
98514,26.310936,-113.806783,Nueva Singapur,Hidalgo
98514,21.699872,-102.260013,Vieja Alemania,Guanajuato
98514,23.579942,-97.940398,San Ivonne de la Montaña,Michoacán de Ocampo
49367,22.807347,-99.478586,San Mercedes los bajos,Querétaro
49367,23.363941,-89.913583,Vieja Senegal,Chiapas
57561,25.605716,-90.142072,San Agustín los bajos,Tabasco
57561,20.936056,-114.984988,Vieja Timor-Leste,Sonora
57564,16.965034,-91.923073,Vieja Sri Lanka,Nuevo León
57564,31.318779,-91.797702,Vieja Côte d'Ivoire,Baja California
49373,26.372675,-91.002861,Nueva Gabón,Morelos
49373,18.058558,-108.156223,San Eloy los bajos,México
49373,24.820391,-110.32943,Vieja Sri Lanka,Guanajuato
65757,17.011695,-102.323153,San Frida los altos,Querétaro
65757,18.548079,-97.582152,San Alberto los bajos,Jalisco
90337,15.094252,-91.638314,Nueva Brasil,Baja California
90337,25.296557,-90.743038,San Ángela los bajos,Baja California
98531,18.005252,-103.43489,Vieja Guinea Ecuatorial,Guerrero
65770,18.546198,-109.112223,Nueva Omán,Aguascalientes
65770,17.078973,-91.560712,Vieja Santo Tomé y Príncipe,Sinaloa
49388,21.00941,-106.040526,Nueva Guinea Bissau,Hidalgo
90352,29.529665,-112.329848,Vieja Alemania,Guanajuato
16627,22.299262,-113.599088,San Juan los bajos,Puebla
16627,23.237969,-111.011556,San Leonor los altos,Morelos
8436,26.445591,-86.853532,Nueva Zimbabwe,Chihuahua
24821,23.694692,-105.231209,San Adriana de la Montaña,Aguascalientes
24821,18.425525,-113.578086,San Isabel de la Montaña,Durango
24821,30.706956,-115.307526,San Lilia de la Montaña,Oaxaca
98550,22.739171,-94.878476,San Modesto los bajos,Campeche
98550,15.3255,-96.516327,Nueva Mozambique,Jalisco
98550,22.597292,-102.363759,San Pamela los bajos,Guanajuato
90359,28.171696,-93.421407,Vieja Uruguay,Querétaro
90358,28.350365,-99.074071,Vieja Luxemburgo,Nayarit
251,21.069422,-116.928714,San Sonia los altos,Yucatán
49405,23.151271,-87.122055,San Patricio los altos,Sonora
49405,24.683285,-92.36371,San Alvaro de la Montaña,Guanajuato
82174,22.937653,-102.361241,San María José de la Montaña,Baja California
82174,30.331713,-87.912185,Vieja Serbia,Baja California
33025,30.524421,-93.917669,San Lucía de la Montaña,Yucatán
41217,25.32984,-98.446659,Vieja Vanuatu,Veracruz de Ignacio de la Llave
257,21.844635,-114.455973,San René de la Montaña,Morelos
41218,16.03833,-91.773852,Nueva Kirguistán,Aguascalientes
41218,22.589092,-113.193004,Vieja Letonia,Guanajuato
41218,22.364016,-98.19242,San Guadalupe los bajos,Campeche
16649,27.254331,-106.368995,San Helena de la Montaña,Aguascalientes
16649,22.853619,-98.603598,Nueva Yemen,San Luis Potosí
267,31.592553,-92.419267,Vieja Afganistán,Chiapas
267,20.268999,-96.817437,San Sofía los bajos,San Luis Potosí
267,22.830127,-108.450004,Vieja Mongolia,Veracruz de Ignacio de la Llave
33039,25.843459,-102.821079,Vieja Bosnia y Herzegovina,Oaxaca
33039,27.295789,-92.605674,San Conchita de la Montaña,Guerrero
33039,22.578792,-105.824182,San Homero los altos,Hidalgo
74001,29.254592,-104.743012,Nueva Belarús,Yucatán
65811,23.403375,-107.841716,Vieja Palau,San Luis Potosí
98584,22.453426,-114.073363,San Rosa los bajos,Tabasco
98584,24.000002,-104.327758,San Jos los altos,Quintana Roo
65816,31.261017,-93.470627,Vieja Kenya,Campeche
65816,27.512045,-88.403588,San Alicia de la Montaña,Baja California
65816,20.09359,-102.068581,San Miguel los altos,Chiapas
49441,21.720367,-92.524902,San Jesús de la Montaña,Puebla
49442,21.971719,-105.901183,San Javier de la Montaña,Oaxaca
49442,31.369269,-108.403529,Nueva Sudán del Sur,Tlaxcala
16678,30.880919,-96.818546,Vieja México,Colima
16678,21.028894,-88.261687,San Berta los altos,Puebla
16678,24.82606,-92.888032,San Emiliano los bajos,Tabasco
74025,18.53424,-101.732738,San Lilia los altos,Chiapas
49452,21.555893,-112.5989,San Jacobo los bajos,Guerrero
24876,26.734303,-110.147493,San Lorenzo los bajos,Tabasco
24876,19.492772,-113.579511,San Salvador de la Montaña,Sonora
24876,27.246454,-104.747929,San Gerardo de la Montaña,México
90416,21.482967,-111.80596,Nueva Lituania,Sonora
16689,28.3809,-101.065278,San Helena los altos,Durango
16689,31.440238,-89.213136,San Abigail de la Montaña,Tlaxcala
82226,25.140776,-89.363542,Nueva Cuba,Nuevo León
82226,19.296379,-93.463756,Nueva Togo,Jalisco
74041,17.458556,-105.208869,Vieja Países Bajos,Michoacán de Ocampo
74041,25.322123,-103.331489,Vieja Dominicana,Michoacán de Ocampo
16698,21.696443,-92.888257,San José Eduardo de la Montaña,Tamaulipas
65851,26.925507,-113.845706,Nueva Uruguay,Tabasco
65851,23.218003,-104.932424,Nueva Eslovaquia,Morelos
65851,31.569544,-111.878857,Nueva Burundi,Zacatecas
49469,30.650687,-86.549306,San Leonor los bajos,Quintana Roo
98623,30.599335,-100.737299,Nueva Niger,Durango
98623,23.974092,-94.962168,San Martha de la Montaña,Michoacán de Ocampo
98623,16.504851,-100.152689,San Jos los altos,Nuevo León
24902,29.558676,-97.064002,Nueva Zimbabwe,Tabasco
24902,19.190243,-112.089447,San Alicia de la Montaña,México
57672,16.371532,-104.263329,San Liliana los bajos,Chiapas
57672,18.512462,-110.37454,Vieja Qatar,Chihuahua
24905,26.342142,-109.396786,Vieja Suiza,Veracruz de Ignacio de la Llave
24905,32.111499,-106.754019,San Isabel los bajos,Chiapas
49484,31.498926,-103.986458,Nueva República Democrática Popular Lao,Campeche
49484,31.344126,-88.071492,Vieja Micronesia,Chiapas
49484,15.599415,-91.31775,San Rolando de la Montaña,Zacatecas
82253,29.716024,-94.843846,Vieja Bhután,San Luis Potosí
82253,17.080392,-89.333717,Nueva Indonesia,Guanajuato
65871,23.155375,-100.38946,San Berta de la Montaña,Durango
65871,22.263467,-92.673739,San Trinidad los altos,Distrito Federal
65871,19.117358,-90.382441,San Rosario de la Montaña,Tamaulipas
74065,23.255474,-113.81656,San Violeta de la Montaña,Michoacán de Ocampo
74065,31.03381,-100.363461,San Aida los altos,Distrito Federal
98642,22.287646,-112.033893,Vieja Vietman,Nayarit
49491,15.070707,-100.517899,Nueva Guatemala,Durango
49491,23.052646,-116.227747,San Nelly los bajos,México
49491,30.444531,-94.221754,Vieja Madagascar,Durango
74070,18.021373,-87.128722,San Aida de la Montaña,Oaxaca
74070,21.351772,-92.843346,San Itzel de la Montaña,Yucatán
82262,30.509725,-106.719086,San Elvira los altos,Sonora
57688,20.362114,-90.080037,San Raúl los altos,Puebla
57688,26.473392,-92.633433,San René de la Montaña,Baja California
57688,19.322954,-91.882861,San María José los bajos,Distrito Federal
57689,25.877506,-98.529799,Nueva Uruguay,Colima
57689,16.166243,-109.216603,Vieja Túnez,Quintana Roo
65879,19.404889,-116.370379,Vieja Granada,Colima
65879,31.480899,-101.282399,Nueva Uganda,San Luis Potosí
347,32.489934,-105.188282,Vieja Chile,Tabasco
33115,32.194869,-92.170992,Vieja República Árabe Siria,Michoacán de Ocampo
98646,16.94689,-107.343813,Vieja México,Guerrero
98646,16.283889,-116.957436,Nueva Seychelles,Tabasco
98646,18.34903,-107.679737,Nueva Guinea Ecuatorial,Veracruz de Ignacio de la Llave
49503,27.91108,-114.827756,Vieja Túnez,Tamaulipas
49503,19.496699,-92.357177,San Alejandro de la Montaña,San Luis Potosí
49503,16.46306,-110.207128,Nueva Federación de Rusia,Chiapas
33120,29.612621,-100.448275,Nueva San Marino,Durango
24933,30.543557,-100.472038,Nueva Bahrein,Guerrero
90472,24.973359,-94.243145,San Maximiliano de la Montaña,Aguascalientes
65901,24.543495,-115.800279,San Conchita los bajos,Zacatecas
65901,21.394655,-113.847057,San Andrés los altos,Sinaloa
90484,26.215149,-116.121492,Vieja Nueva Zelandia,Chihuahua
33141,27.264412,-111.560457,Nueva México,Nuevo León
24949,25.953471,-91.224549,San Fidel los altos,Veracruz de Ignacio de la Llave
24949,28.794013,-90.812036,Vieja Barbados,Campeche
24949,31.726054,-87.535682,Vieja Estonia,Chihuahua
33144,30.782662,-107.96168,San José Manuél de la Montaña,Campeche
24956,15.354403,-102.721811,Nueva Singapur,Baja California
24956,31.335196,-86.841449,San Benito los altos,Guerrero
24956,16.644743,-96.258624,Nueva Libia,Veracruz de Ignacio de la Llave
8573,31.510721,-97.298235,San Augusto los bajos,Tabasco
57727,25.786686,-86.651576,San Dulce los altos,Guerrero
57727,21.780075,-104.743749,San Joaquín los altos,Chiapas
82303,28.511836,-91.20699,Nueva Benin,Puebla
74113,17.590365,-87.766843,San Espartaco los bajos,Oaxaca
98690,25.21484,-98.096485,Vieja Indonesia,Colima
82307,21.069637,-112.195644,San Miriam de la Montaña,San Luis Potosí
386,15.458274,-94.223237,San Olga los altos,Coahuila de Zaragoza
386,31.516204,-111.968348,San José Carlos los bajos,Baja California Sur
33157,20.631613,-92.778249,Nueva Mónaco,Guanajuato
16767,19.569655,-112.487428,Vieja Botswana,Colima
16767,16.269369,-94.745944,Vieja Finlandia,Veracruz de Ignacio de la Llave
16767,16.825369,-94.582711,Vieja Ecuador,San Luis Potosí
24968,22.863025,-104.545865,Nueva Dinamarca,Nuevo León
41359,20.688203,-98.79583,Vieja Senegal,Sonora
41359,14.521208,-112.291475,Vieja República Árabe Siria,San Luis Potosí
33168,31.005789,-109.342321,Vieja Camerún,Nayarit
16788,19.28796,-92.17958,San Rolando de la Montaña,Campeche
98711,20.164563,-91.674358,San Eugenia los bajos,Hidalgo
98711,21.649555,-100.446541,San Juan los altos,Guanajuato
33177,31.172477,-105.000944,San Socorro los bajos,Chiapas
33177,28.828789,-103.401442,Vieja Jamaica,Tlaxcala
33177,24.884102,-89.981427,Nueva Letonia,Puebla
57754,30.353757,-101.615551,San Elsa los bajos,Chihuahua
41371,22.598945,-117.085708,San Reynaldo los bajos,Distrito Federal
24986,29.256051,-108.748347,San Héctor de la Montaña,Aguascalientes
24986,26.623984,-93.533355,San Dalia los altos,Sonora
24986,27.594582,-95.276906,San Tania los altos,Guanajuato
413,18.652925,-115.18103,Nueva Saint Kitts y Nevis,Baja California
413,18.498089,-104.250504,Vieja Senegal,Campeche
41375,18.939931,-111.505086,Vieja Uganda,Nayarit
415,21.477725,-110.889701,San Eva los bajos,Morelos
415,27.449449,-95.238946,Nueva Granada,Tlaxcala
415,16.966532,-116.472599,San Esteban los bajos,Puebla
82337,22.114558,-88.044446,San Gloria los altos,Sinaloa
82337,24.448559,-107.299499,Nueva China,Nuevo León
49574,24.665267,-107.907912,San Clara los altos,Puebla
98732,22.836234,-92.00274,San Silvia de la Montaña,Hidalgo
57774,31.429375,-105.686887,Vieja Estonia,México
57774,26.74878,-87.867466,Vieja Vanuatu,Zacatecas
74159,18.15308,-89.859969,Nueva Ghana,Jalisco
25007,29.395133,-90.262344,San Jaime de la Montaña,Chihuahua
33200,15.574995,-116.185017,Nueva China,Michoacán de Ocampo
8629,22.172903,-114.24432,Nueva Ecuador,Guerrero
8629,18.677782,-105.49584,Nueva Tuvalu,Aguascalientes
438,20.374662,-93.890768,San Noemí los bajos,Quintana Roo
41399,21.179219,-108.580337,Nueva Somalia,Aguascalientes
41399,25.40917,-116.866551,San Cornelio los bajos,San Luis Potosí
41399,30.185374,-103.435027,San Yuridia de la Montaña,Michoacán de Ocampo
65974,23.484692,-115.065479,Nueva Comoras,Campeche
65974,29.754827,-112.834704,San Antonia los altos,Morelos
65974,18.826356,-111.467993,Vieja Islandia,Sonora
57786,25.725536,-112.359288,San Mitzy los bajos,Guanajuato
57786,32.298686,-111.762962,San José Emilio los bajos,Sinaloa
65978,24.775175,-113.670606,Vieja República Popular Democrática de Corea,Nayarit
445,27.863972,-87.840327,San Carla los bajos,Colima
41405,27.514467,-89.501122,Nueva Austria,Nuevo León
41405,21.782854,-115.783241,San Irma los bajos,Coahuila de Zaragoza
74177,20.591702,-103.248732,San Georgina los bajos,Jalisco
16834,30.677027,-106.756063,Vieja Uruguay,Sinaloa
16834,25.08109,-98.277036,San Mónica de la Montaña,Chiapas
16834,24.336722,-104.08607,Vieja Rwanda,Jalisco
49604,22.919915,-98.762176,San Catalina los altos,Morelos
25029,30.212312,-93.245691,San Lorenzo de la Montaña,Sinaloa
65990,25.294292,-108.158315,San Norma los altos,Zacatecas
65990,31.276142,-98.292344,San Emilia los altos,México
33232,26.526664,-89.721586,Vieja Bahamas,Campeche
33232,15.390882,-105.599741,Nueva Jamaica,Coahuila de Zaragoza
33232,27.305713,-108.12716,San Violeta los bajos,Morelos
57810,24.373201,-88.673266,Vieja Dinamarca,Zacatecas
57810,20.634846,-110.173978,San Ivonne los altos,Campeche
57810,27.689183,-87.686099,San Benito de la Montaña,Nuevo León
57812,15.731442,-88.788836,San Natividad de la Montaña,Nayarit
57812,15.637082,-102.29015,San Ruby los bajos,Querétaro
57812,19.280182,-101.33565,Nueva Panamá,Coahuila de Zaragoza
98773,23.505316,-87.329849,San Benito de la Montaña,Nayarit
98773,28.130257,-111.468466,Nueva República Dominicana,Guerrero
98773,22.279901,-114.161496,San Luis Manuel de la Montaña,Oaxaca
98774,31.869747,-109.442183,Vieja Togo,Yucatán
33239,30.838478,-103.805553,San Trinidad de la Montaña,Querétaro
74196,24.758433,-90.561243,San José Carlos los bajos,Oaxaca
74196,20.974877,-108.749019,Vieja Suriname,Nayarit
82393,22.862942,-113.916165,San Esparta los altos,Distrito Federal
82393,20.794368,-93.428704,San Guadalupe de la Montaña,Morelos
82393,17.479539,-92.035837,San Teresa los bajos,Guanajuato
8666,26.268718,-116.760739,San Virginia de la Montaña,Chiapas
57822,21.070684,-96.000937,Nueva Ecuador,Durango
8673,28.641838,-96.355307,San Andrea los bajos,Campeche
33249,29.027431,-114.016125,San Miriam de la Montaña,Aguascalientes
41441,25.363465,-104.876108,Vieja Cuba,Tlaxcala
41441,27.442579,-97.703133,San Benjamín los bajos,Nuevo León
16868,23.518654,-102.48853,Vieja Kazajstán,Durango
483,15.275094,-104.145103,Vieja Trinidad y Tabago,Quintana Roo
483,21.394359,-90.026046,San Gonzalo los bajos,Querétaro
483,29.533286,-87.035052,San Cristal de la Montaña,Morelos
90599,18.413629,-107.500334,Nueva Congo,Campeche
90599,29.202121,-101.502197,Nueva Canadá,Quintana Roo
57834,28.300482,-105.118371,San Julio de la Montaña,Puebla
57834,27.350931,-116.114693,San Óliver de la Montaña,Durango
57834,16.491632,-116.882272,San Mitzy los altos,Querétaro
98799,15.047667,-106.487423,Vieja Guyana,Aguascalientes
98799,27.686164,-96.094224,Vieja Mauritania,Tamaulipas
98799,23.97778,-91.424956,San Luis de la Montaña,Sonora
90613,21.478462,-87.740296,Vieja Guinea Ecuatorial,Colima
74230,22.2792,-86.940072,San Carlota de la Montaña,Colima
74230,23.548681,-105.26884,San Horacio los altos,San Luis Potosí
74230,20.460423,-102.678053,San Itzel los bajos,Quintana Roo
82424,21.375376,-108.546257,Nueva Luxemburgo,Nayarit
82424,23.461969,-100.074961,San Jorge Luis los bajos,Oaxaca
33273,24.72413,-101.351782,San Minerva los bajos,Sonora
41467,25.025551,-90.645642,San Elena de la Montaña,Tamaulipas
41467,15.698695,-108.542864,San Jaqueline de la Montaña,Baja California
41467,14.653618,-101.054923,San Hilda de la Montaña,Durango
57854,29.102074,-102.593972,San Josefina los altos,Jalisco
57854,29.213743,-94.536277,Vieja Seychelles,Puebla
49664,31.596054,-90.279476,San Emilia de la Montaña,Jalisco
41474,20.587969,-110.154433,Vieja Seychelles,Tabasco
516,28.767208,-95.607553,Nueva Nueva Zelandia,Chihuahua
82438,23.968221,-114.307045,Vieja Noruega,Sonora
33287,20.767404,-115.798551,San María Luisa los bajos,Oaxaca
33287,15.667454,-101.050129,San Josefina los bajos,Baja California Sur
57863,17.100877,-116.959521,San Mónica los bajos,Quintana Roo
57863,28.958669,-89.876647,San Antonio los altos,Oaxaca
49673,25.4379,-111.498678,San Aldo de la Montaña,Baja California Sur
49673,15.099773,-106.274456,San Jesús de la Montaña,Querétaro
49673,22.082074,-88.407403,Vieja Colombia,Campeche
74249,28.047885,-109.532484,Nueva Cabo Verde,Querétaro
74249,18.519079,-104.438747,San Catalina los bajos,Chiapas
82444,22.681248,-93.560894,San Claudio los altos,Tlaxcala
524,24.150763,-104.577171,San Pilar de la Montaña,Nayarit
524,19.358811,-107.993033,Vieja Samoa,San Luis Potosí
16911,31.35845,-100.475854,San Perla los bajos,Tabasco
16911,29.195073,-96.432795,San Clara los bajos,Zacatecas
66063,31.164666,-90.692132,Vieja Canadá,Chiapas
49690,17.612766,-87.371264,San Adriana de la Montaña,Baja California Sur
49690,18.724655,-104.815927,Vieja San Marino,Querétaro
82458,21.284549,-98.393521,San Guillermina de la Montaña,Hidalgo
82458,22.862167,-110.032257,San Cristian los bajos,San Luis Potosí
541,17.548627,-112.611015,San Lucas los bajos,Querétaro
541,21.135771,-88.623738,Vieja Saint Kitts y Nevis,Guerrero
541,24.99064,-106.542634,Vieja Etiopía,Quintana Roo
74271,23.821026,-100.151339,San Zeferino de la Montaña,Tabasco
74271,21.793481,-95.559885,Vieja Nueva Zelandia,Nayarit
74272,16.039072,-99.259341,Vieja Kirguistán,Zacatecas
16930,15.846179,-114.882511,Nueva Panamá,Chihuahua
16930,26.889722,-97.914623,San Lilia de la Montaña,Tamaulipas
49706,29.360913,-95.393229,Vieja Sri Lanka,Distrito Federal
49706,19.47963,-112.649242,San Araceli los bajos,Nuevo León
49706,23.5663,-96.122844,Nueva Arabia Saudita,Puebla
66091,23.182468,-106.828784,Vieja Antigua y Barbuda,Nuevo León
41516,19.146633,-112.168679,Vieja Yemen,Tlaxcala
41516,24.412768,-99.985088,San Sessa los altos,Durango
41516,18.530959,-96.333842,Vieja Côte d'Ivoire,Sonora
82486,25.296859,-92.759996,San José Emilio los bajos,Aguascalientes
82486,22.699368,-111.710813,San Darío los altos,Nayarit
33337,22.538933,-104.51767,Vieja Finlandia,Baja California Sur
33337,32.169646,-88.368285,San Agustín los altos,Guerrero
33337,23.672296,-113.428589,San Alejandro los bajos,Michoacán de Ocampo
57921,27.99085,-90.058354,Nueva Madagascar,Puebla
41542,19.364945,-114.402335,San Ruby los altos,Querétaro
41542,16.233659,-111.087052,San Rocío los bajos,Zacatecas
41542,23.048038,-115.190004,San Nelly los altos,Durango
33351,18.870005,-95.942123,Nueva Andorra,México
33351,22.987132,-93.594262,San Dolores de la Montaña,Nayarit
66120,24.290932,-99.369112,San Cynthia los altos,Tamaulipas
66120,29.012977,-110.293142,Vieja Indonesia,Baja California
66120,24.305251,-109.230199,San Óscar los altos,Michoacán de Ocampo
41544,28.237766,-112.02144,Vieja India,Sinaloa
41544,20.016174,-102.415068,Vieja Dominicana,Nuevo León
41544,21.053596,-107.782183,San Iván los altos,Campeche
74314,20.0552,-107.365008,Vieja Nigeria,Jalisco
74314,21.227803,-107.511476,Nueva Côte d'Ivoire,Morelos
16971,26.102194,-104.735227,San Miguel Ángel los altos,Jalisco
16971,26.494876,-110.226338,Nueva Burkina Faso,Colima
16971,30.156831,-103.868897,San Flavio de la Montaña,Puebla
8780,18.370409,-98.276883,San Abigail los altos,Guerrero
66122,27.851367,-105.412554,Nueva Tailandia,San Luis Potosí
66122,24.818339,-90.759175,San Genaro los bajos,Querétaro
66122,24.903248,-107.823288,Nueva Jordania,Aguascalientes
41554,14.679439,-101.406087,Nueva Seychelles,Chihuahua
41554,23.024597,-109.880591,Nueva El Salvador,Quintana Roo
41555,25.713553,-115.299436,Vieja Zambia,Nuevo León
66130,18.490073,-87.373411,San Cristobal los altos,Hidalgo
66130,30.184685,-98.592986,San José Eduardo de la Montaña,Coahuila de Zaragoza
74323,23.759932,-116.635809,San María Elena de la Montaña,San Luis Potosí
74323,17.754059,-97.641162,San Marcela los altos,Veracruz de Ignacio de la Llave
74323,27.068047,-89.219843,San Octavio los altos,Michoacán de Ocampo
57944,30.493491,-97.117894,San Marcela de la Montaña,Guanajuato
57944,23.554996,-89.874258,Nueva Marruecos,Baja California
98906,20.737541,-92.213441,San Aldonza los bajos,Baja California Sur
98906,22.556683,-106.539963,San Citlali de la Montaña,Coahuila de Zaragoza
16986,28.183094,-95.873822,San Daniela los bajos,Distrito Federal
16986,19.167403,-105.14581,San Pilar los bajos,Guanajuato
602,21.534521,-103.587247,San Germán los bajos,Oaxaca
