order_id,payment_sequential,payment_type,payment_installments,payment_value
ord_3456edfed173044b05c37cbbdb0c,1,credit_card,2,4041.7
ord_d63428c152eb663ec0dee4a2166a,1,mercado_pago,12,2335.73
ord_e0640b99374dc935552940f1c6e7,1,boleto,1,1352.62
ord_a1e4fb5cad1dffdc03b3278a6b2f,1,voucher,1,3596.48
ord_189459a83d54f118edcb285ed996,1,voucher,1,2496.57
ord_553bd171167a3093dcaec413279e,1,paypal,1,4808.9
ord_7b2b8f74e14b210672eac5936caa,1,mercado_pago,2,3400.44
ord_c6050408b5ae2b9f4013984faa1a,1,mercado_pago,1,4332.76
ord_0a76bcdc787e5e97ea8e833158f8,1,paypal,1,3930.47
ord_5c52cd655e2e7e368cf1ac7c43ae,1,boleto,1,1276.03
ord_29d6f40202c9ffd2a9524fbe1796,1,mercado_pago,6,4539.83
ord_eaf9b99e7734a069a974a10822a8,1,paypal,1,2733.5
ord_8dde40ef1fbdfe1a40d07339b430,1,credit_card,3,548.77
ord_b02f608dfcd2e09f55ff52cb0b6a,1,debit_card,1,3530.44
ord_0e9ca1516c26a665af1893ef5c59,1,debit_card,1,2253.83
ord_31e3f7d9182fece0166baa897429,1,debit_card,1,4947.96
ord_93dd17c5c58be70add840454e71d,1,voucher,1,248.38
ord_93dd17c5c58be70add840454e71d,2,credit_card,6,2367.52
ord_797132b9027570d9c8505b30b828,1,credit_card,2,1715.25
ord_3a81a2199c6af3aea32bf1312ddc,1,voucher,1,461.88
ord_4d67e9706c23c34244f28754f521,1,boleto,1,1970.82
ord_602895df1c5a309da7c5015b16ce,1,boleto,1,1728.01
ord_cb7e79bc9c9e4bce0bb9fccb78d5,1,boleto,1,1316.74
ord_d1a4f3a0e3a2027a80b62d01a54d,1,credit_card,2,234.38
ord_f32141d698cfbdd36bc97164bb85,1,mercado_pago,3,678.91
ord_3dc9879ac00c98676b702303a2be,1,paypal,1,855.21
ord_3dc9879ac00c98676b702303a2be,2,mercado_pago,2,1263.96
ord_bc5a71adce9cefa0284fc27707c0,1,debit_card,1,4765.66
ord_47daa3da67d85ee9eb971f85fd3e,1,voucher,1,2593.77
ord_2a15b353978a0c27eed6a4bece5d,1,mercado_pago,1,1148.22
ord_cfc4b091533200c55ace9cfd000d,1,paypal,1,3115.54
ord_1a976eac1e08fecb7c626d0e65fb,1,mercado_pago,1,4919.14
ord_014f6cdbe6030ea42db4af65713e,1,voucher,1,3680.5
ord_7898eecc8be431be85fa2c9d8de0,1,mercado_pago,1,2714.01
ord_464933c9f335864f6dc2cb2ed874,1,debit_card,1,579.23
ord_dc86065675b512c5c4a7de78d8b5,1,boleto,1,2383.21
ord_aa520fa844674715d47991bb273c,1,mercado_pago,3,854.91
ord_6b390932742834d67b72ae3c84f2,1,debit_card,1,4843.57
ord_b1ad5fd024084da9d7c000ddbf92,1,boleto,1,2896.43
ord_c4a2dc575b6164068329a0a447ee,1,voucher,1,4682.44
ord_1291b5389173186aa555510e26f8,1,debit_card,1,1869.31
ord_422772476d46e52d349637725733,1,paypal,1,1154.62
ord_477e873cd1bcd7ecadcc2bb4bb92,1,credit_card,1,1805.23
ord_477e873cd1bcd7ecadcc2bb4bb92,2,boleto,1,226.16
ord_ad78ea01695abbbff92e9bc36f03,1,boleto,1,624.37
ord_061d5b9f2493ebfc001df686157f,1,mercado_pago,2,1176.35
ord_f3530d80ab5ecddc04cf90396572,1,mercado_pago,1,2552.38
ord_04747fda647844c0aa1de12aece7,1,debit_card,1,560.52
ord_2509b26b819a47c30de117423c7b,1,credit_card,6,3281.14
ord_b1b81de9f0a27e4520fc315863ce,1,debit_card,1,2184.41
ord_b1b81de9f0a27e4520fc315863ce,2,credit_card,3,721.06
ord_4bdc1d1b81dbb2d901a9a34e718e,1,voucher,1,2073.07
ord_4bdc1d1b81dbb2d901a9a34e718e,2,mercado_pago,6,2150.59
ord_0bd758c35e197d258d02d76d48c1,1,boleto,1,2643.67
ord_7840e3c7739fa3054ed0c2594350,1,boleto,1,3771.74
ord_4633485139ff7f2eb885ce225e28,1,debit_card,1,407.15
ord_4633485139ff7f2eb885ce225e28,2,debit_card,1,1785.37
ord_44b65017e5212d0334d86f58d867,1,credit_card,1,2403.19
ord_cc9aa5540c5b3cf91373e848e256,1,credit_card,1,3529.14
ord_faf04eafbc204b839e2cc8063444,1,debit_card,1,4026.17
ord_662f213413304eeef2a3b6da0e60,1,boleto,1,1078.68
ord_cc641040428f6dce038e91d7aa96,1,credit_card,12,1377.01
ord_5b58405d8c9eb0469593a5cdcb2a,1,mercado_pago,6,297.98
ord_0b463580d2670afbdfd282027c96,1,voucher,1,1006.76
ord_675c351a58ac7dd3a36804e96a61,1,credit_card,3,3919.82
ord_977113aa63e2c04c578cb733c009,1,paypal,1,2281.58
ord_99112b35cf227b60d2ab9b19b62c,1,credit_card,12,1691.5
ord_3d6cb688759b01bf543c3090bc88,1,mercado_pago,1,2828.39
ord_5e84511fd1f959b064794f4215f9,1,credit_card,12,1099.82
ord_c8630629525d941b3083567e7343,1,paypal,1,1238.22
ord_4b6a4424d69eb33b494c89b97fe5,1,debit_card,1,1297.73
ord_b45331ffab71133e31db587b5ede,1,mercado_pago,3,1751.48
ord_b22ccbf396dea89777904d519d47,1,mercado_pago,6,1638.0
ord_12d10392643afd418b5d1018192f,1,voucher,1,2359.4
ord_15c689642ce0b7f460f73a77f159,1,voucher,1,527.07
ord_af2c269cb95297e7135791885f0f,1,debit_card,1,4618.95
ord_50a39287ade56ec19995f7695dc7,1,credit_card,2,4573.47
ord_6ccbf0f7d63d5e96df67d6f41e92,1,mercado_pago,1,2981.57
ord_fc6c216feef9ebbbaa66bdc431a3,1,mercado_pago,12,4304.39
ord_0e65531240988d0fd0bda72ea313,1,paypal,1,1919.9
ord_d8c3204c85c9d7a81327639b7a73,1,mercado_pago,6,3789.18
ord_2a77b0843a7498f04ececf0e8b33,1,paypal,1,4804.89
ord_9e59612ce453544556f93d6aff55,1,boleto,1,3494.03
ord_fb5e3323fa4b5e00292ed1ebc6c9,1,mercado_pago,3,1282.64
ord_a5f24e619f5c8004e5e0bfee2c1d,1,debit_card,1,1928.08
ord_a5f24e619f5c8004e5e0bfee2c1d,2,mercado_pago,3,1359.25
ord_5bcebd67c666eb97d03099945b29,1,credit_card,12,1392.49
ord_afe0fb68cae811cd5fef284e459a,1,debit_card,1,1206.37
ord_dee134d31213baf2faa54bcb9e57,1,paypal,1,2085.55
ord_7d0d352785451b20ea207195adac,1,paypal,1,914.29
ord_9dad177ab9fe5ff28be54acb9455,1,voucher,1,3678.88
ord_0513f8680e0f4b6779f90e1b26c4,1,voucher,1,1879.87
ord_0187d009d5af079ffab260daf5e9,1,credit_card,12,1462.71
ord_36c2ddc7118e67c2f26b0f29736b,1,boleto,1,2945.53
ord_f4460aca90372ef1ceabd0d36484,1,voucher,1,817.51
ord_f4460aca90372ef1ceabd0d36484,2,boleto,1,2014.92
ord_da8b4b488b9d6191e700e93859d4,1,mercado_pago,2,4922.37
ord_c86f70cc02c49e60d3c2d723b3ea,1,boleto,1,4749.44
ord_cafd95f93cc4f2c81f41ec855217,1,credit_card,2,450.74
ord_71c1b197b3996f2a170fb31ccf54,1,mercado_pago,6,4540.43
ord_ea1e304d8703c1ce64b4236d71e7,1,paypal,1,939.76
ord_8bfb63f75c7a859c0c5ad31f9e70,1,credit_card,3,3606.5
ord_22f6a154a22f63327e0640278652,1,boleto,1,3467.91
ord_5142d2d497b2b2855749ed361f59,1,debit_card,1,726.14
ord_77af7de9b9bd5a85444d287d1aaf,1,paypal,1,4516.22
ord_8a4d64cf30e9dd785ff7e31c240d,1,boleto,1,4261.65
ord_586c090500580b25650e1813f686,1,debit_card,1,4575.95
ord_c184c4c73d42680faf2e2351d60b,1,paypal,1,2441.18
ord_b425c3104c23d9c0829404e7ada1,1,mercado_pago,1,2802.49
ord_3680ed0399a2a1287fd4fc9b41d2,1,debit_card,1,2915.6
ord_a04d8193aab70f28b918dccac081,1,credit_card,1,208.24
ord_1a6a29ffc60dff5a53d6a300045c,1,debit_card,1,3035.32
ord_161af77a0042429026f8a3f854a5,1,credit_card,2,1802.24
ord_161af77a0042429026f8a3f854a5,2,mercado_pago,12,1967.33
ord_0b6ecf47c3a7e0420b69df1f77c6,1,debit_card,1,1399.16
ord_0b6ecf47c3a7e0420b69df1f77c6,2,mercado_pago,3,2054.78
ord_395ebd58a335f0d859dde67d2522,1,mercado_pago,12,3050.69
ord_512ee1399f3a91a8834e729145cf,1,credit_card,1,3312.24
ord_43bb3fe3ab782c53138f13b9caba,1,boleto,1,1574.1
ord_55f3eee8ee4594c53073c096e362,1,debit_card,1,4971.25
ord_18c137f3edd819487cdfe24836f5,1,voucher,1,2841.49
ord_8c9be14746cf436584a586d8ba46,1,debit_card,1,2953.09
ord_9a52067496c45689830b89cd3e4f,1,mercado_pago,6,1631.9
ord_016d4e4f7c88b36132e0a567e976,1,debit_card,1,1833.71
ord_a2ad319305a44acc0ce4ae9d8400,1,credit_card,2,3028.38
ord_b7cf0a55c74a53b94f1e468f6f6b,1,voucher,1,4449.4
ord_5334a7990312365f0ed0f0cefff8,1,credit_card,1,3661.38
ord_481928f37917b848e51f1c96e9cd,1,paypal,1,2675.06
ord_f7d75fd9115f569222ee838d8d89,1,voucher,1,2788.69
ord_3cbaf45d71b07a418896553a43cb,1,paypal,1,2022.36
ord_bd869094d4984b33b4b40aeb3edb,1,paypal,1,1604.71
ord_e45f976a091fc1bb49055858fe37,1,paypal,1,1973.41
ord_f91a9de77800134003a3efc86b5d,1,paypal,1,182.0
ord_f91a9de77800134003a3efc86b5d,2,voucher,1,2096.05
ord_e1f2f5b09d1570671b256ae3ff00,1,debit_card,1,2027.05
ord_b4ce7f2593f15ed0d06630cd634c,1,mercado_pago,6,4439.3
ord_f6111465043e03e92ac814b180a8,1,credit_card,3,1685.03
ord_f6111465043e03e92ac814b180a8,2,mercado_pago,2,127.78
ord_22b0b4fc85ab7072f41b7ead8dba,1,debit_card,1,3415.32
ord_29d585f4fb6e59f201eb09509cde,1,boleto,1,2518.7
ord_00c29057de1649996cf29e3c6453,1,debit_card,1,1548.67
ord_a492d71484eb7236f49e32de7f0c,1,paypal,1,4996.98
ord_7dd4325b60ec0d31908015177004,1,credit_card,12,4937.99
ord_365cd8f2c129c8d5ddb3206c440d,1,paypal,1,660.34
ord_2b666d4ee84cf87c8c28bb655916,1,credit_card,2,4744.31
ord_2be3b0c079b5d4cb8ff47f8f11ae,1,mercado_pago,6,1517.25
ord_cea35eefeae12a0f494cc2d61b6d,1,mercado_pago,3,3415.08
ord_2cd191e53700ad9481fffe9424b5,1,mercado_pago,1,3613.86
ord_7c2157af98f88b63c4d76aaa70b8,1,debit_card,1,2841.36
ord_4e7131b49fcc506bdc65052e9f5e,1,debit_card,1,2698.92
ord_aa89b209044ec42d0d53c4418d2b,1,debit_card,1,1914.89
ord_dda45468f206283d6522766b364b,1,mercado_pago,3,4518.54
ord_4e01d6ef761f8e8c47c04973b0f8,1,credit_card,1,2500.55
ord_2d7ade60b689994479d920577013,1,credit_card,3,3994.15
ord_5e1b1ef62952847f781782c4e7d4,1,voucher,1,2191.73
ord_5e1b1ef62952847f781782c4e7d4,2,voucher,1,918.39
ord_6208aaa53f43203553ba5327511f,1,debit_card,1,1023.07
ord_e4f7c6e39a6aa9485f3972dc9786,1,debit_card,1,875.65
ord_fdbdfc90f8492a3b532618ae8c95,1,voucher,1,1285.41
ord_0a742bd0f4f797f7d266b43ab3bf,1,boleto,1,2605.26
ord_dd2e7722f478ee5366fb667148f9,1,voucher,1,2300.52
ord_52f7ce7f81d3020ebd1626541c77,1,boleto,1,152.27
ord_52f7ce7f81d3020ebd1626541c77,2,paypal,1,2358.64
ord_a762bcffefc280b527ccf0db1344,1,debit_card,1,1981.87
ord_90492fcff8e1b2414620adf11b49,1,credit_card,6,2005.91
ord_312270affd9cb8a3f1010fab6e72,1,boleto,1,3825.66
ord_e3aadef1f637ec975147a75fcf7b,1,voucher,1,1189.99
ord_b18906b5294cd3081828181d97b9,1,paypal,1,1100.06
ord_a4f62c13048129ec8e1348a3ab50,1,credit_card,12,724.76
ord_668d6bbc37c32ecdbfc3eb76c631,1,mercado_pago,6,2876.36
ord_379f199b82ac80fe80c38c410561,1,voucher,1,1643.54
ord_4829ea0cce3b966e596723c96fcf,1,paypal,1,1215.64
ord_ad41113f1a7277f8dabd3e03a431,1,debit_card,1,2697.24
ord_559ad75c3f2f002b7a86c4205630,1,credit_card,3,270.04
ord_5a7073782691beeed7f2e10736e2,1,voucher,1,4318.74
ord_f6c248bb303c42e86fa8726e4fe6,1,debit_card,1,4431.99
ord_632cac9e01926e843fb5ad64e254,1,mercado_pago,6,4672.04
ord_1211f90561fb083d76962bab4b73,1,debit_card,1,3204.91
ord_f23fb9cd0ecc0b6aa9be67241176,1,credit_card,3,1376.06
ord_f9cff39a12390bbec77a9471e769,1,boleto,1,4733.54
ord_5cdaa22b604cd64162efc80f0a90,1,debit_card,1,4833.39
ord_62794e8f4a00638e77ce9b7ef59c,1,boleto,1,2711.93
ord_9f9ab7ceb5f93d9813a27bca773b,1,mercado_pago,2,622.99
ord_30723eb04df3d593be63be5ad2ed,1,voucher,1,691.62
ord_e73467741d0fe983db6245831ebf,1,paypal,1,1144.21
ord_de0cf60abeaf0057509a32014656,1,paypal,1,3388.26
ord_303af8163e2e14c636ce7881dce5,1,credit_card,2,4563.15
ord_e38ddaaf6219b6ff90d2b2040aa9,1,debit_card,1,743.04
ord_e38ddaaf6219b6ff90d2b2040aa9,2,debit_card,1,263.78
ord_34c9c8af3461c9b985de40c3f36d,1,voucher,1,2447.81
ord_844bbc29fc4c5d8632b295df1530,1,mercado_pago,12,3381.6
ord_1a1fb0b580d9de276783f920197e,1,boleto,1,1491.6
ord_a0c8cde312bc0ce0f17a5046d5f2,1,mercado_pago,3,4836.57
ord_3b3b864800a6e6751f0ab3b39d7a,1,voucher,1,350.58
ord_3b3b864800a6e6751f0ab3b39d7a,2,voucher,1,1430.49
ord_a69782570a218486807bcc41217f,1,debit_card,1,4096.95
ord_e9ec412e4f26a7c29d660d50d32c,1,credit_card,2,3134.75
ord_c484cd675b6cfecd6dfeea6492f7,1,debit_card,1,363.47
ord_65d8581ff38ac4e3bd4cbc330c42,1,boleto,1,2591.59
ord_7431a9bef873cc469621cf515f08,1,boleto,1,3300.41
ord_cee524ce24672e14a997122dc778,1,credit_card,6,1809.67
ord_72a92ff327080de9921ebb3e3b0d,1,mercado_pago,2,2482.34
ord_d3f58b87fea6a596fb1d57943c59,1,debit_card,1,3199.99
ord_dbe5d09af09c1b38980f20b70a87,1,debit_card,1,3240.59
ord_f15c3a336d3551bbccfb1a21dbf0,1,mercado_pago,1,2225.39
ord_a56bbc9c42400466fc51c5e7014a,1,paypal,1,3521.98
ord_c5b639ef0820058981738cdf1ba1,1,debit_card,1,4805.7
ord_7ae9c86c5dc3ef20404d5bdd8811,1,boleto,1,3070.84
ord_9463a52d0c7e15d4c4a9b471283d,1,credit_card,2,3615.54
ord_60d588ce42061f0c9945dabb20a2,1,credit_card,12,1029.35
ord_ce5b3d5e6daac1a6abaaa5a99202,1,mercado_pago,1,2414.56
ord_dd6e22f1fb4d38506d7716d76172,1,voucher,1,2489.39
ord_7e4969d5deba8e68d558d744b22f,1,voucher,1,4801.36
ord_0054271c3398b7aa879145471f98,1,mercado_pago,1,2804.37
ord_fbf927f3d9346613cdd834745265,1,paypal,1,4507.88
ord_5e395ffb326332d703cf11f2631a,1,boleto,1,202.27
ord_18b11cb60ba2d2321e8f90fc78e7,1,mercado_pago,6,232.34
ord_18b11cb60ba2d2321e8f90fc78e7,2,voucher,1,1607.07
ord_2f0a0c770df03dd0961dfdef7ad8,1,paypal,1,840.84
ord_d37824c9eb00c107b6b6d79ac6b3,1,boleto,1,4955.89
ord_c44d8cb10ac808c962e5bc92dd54,1,paypal,1,2834.95
ord_0fde4711f4060860078efdc0b382,1,boleto,1,1874.58
ord_63a059665f84c47be7f726cd7ff6,1,voucher,1,3744.64
ord_698f0f36572550edb5d8a3fe5693,1,voucher,1,2603.53
ord_7ca4c3e3ceed066d429a5b54aee5,1,boleto,1,2338.07
ord_aacd6b1a228c0199eae1d3e68852,1,mercado_pago,6,2133.01
ord_626fe642d851b96ed5695d5860a1,1,mercado_pago,12,1551.39
ord_2c8bc526bb3d0ae014bdec5a9086,1,paypal,1,3158.37
ord_af5611baea9ed34d9b7afd01c5c8,1,voucher,1,663.78
ord_ea809d83b7329d7107da84932e12,1,mercado_pago,12,1138.19
ord_54779ecb77b9e24b5edc47e344a8,1,debit_card,1,4675.83
ord_60b22a956057fee49d009b0e60dd,1,boleto,1,461.18
ord_c546f79c86ee34cbfd6b3cb9e476,1,paypal,1,2421.61
ord_c546f79c86ee34cbfd6b3cb9e476,2,credit_card,3,2342.89
ord_b4cfc81cec81ef4d71d8eeedb9b3,1,debit_card,1,1415.16
ord_d7277d47fb55a5b000e20730a2b6,1,boleto,1,1949.83
ord_09e7ca1780ca2d70c38084a71c66,1,debit_card,1,1485.84
ord_cfdab071c1706644b7d3ad7bd22c,1,mercado_pago,6,4493.93
ord_bce53a7c73fca76c336be863a35e,1,debit_card,1,2853.19
ord_3baa665e56ab4b01d83facbf6c35,1,debit_card,1,2322.84
ord_72e4292974a70f2287b5905b9521,1,boleto,1,2664.46
ord_ea6b41e9870698217f2af353b9f2,1,paypal,1,653.99
ord_ec9ed1476e590e02fe3bf8754dbe,1,credit_card,1,4187.27
ord_ad863219b52a6c42ab58d7af176e,1,debit_card,1,1552.06
ord_97e66d3c851aea067b2bdd32d642,1,debit_card,1,703.09
ord_f249f8dbe45d76e9e5ca13e8c5d5,1,debit_card,1,2160.37
ord_08482f5d44c915f8f4dc15c1cf95,1,paypal,1,1198.44
ord_03d80187c8c5c69c77366e4f6e10,1,credit_card,1,2133.49
ord_03d80187c8c5c69c77366e4f6e10,2,paypal,1,2030.58
ord_c205c66aff3c652c1db34e5f9395,1,paypal,1,515.0
ord_2b524bd97d83dab7c1ef067a8e3e,1,debit_card,1,3718.83
ord_2de11d8805b2bfcb25169f7af2fa,1,boleto,1,1807.78
ord_ae4f59e11219b657bb8d09fe837b,1,voucher,1,4249.63
ord_08c5e5d9435fdfa0ca7404dad9b1,1,voucher,1,1709.42
ord_09d8489ba6f6af40e7dec29851d5,1,boleto,1,2661.93
ord_31c15ded9ab6b520d165e341bc7b,1,debit_card,1,247.21
ord_31c15ded9ab6b520d165e341bc7b,2,paypal,1,1548.46
ord_308ffa76aeb9e1c884c66d9e636a,1,voucher,1,1856.53
ord_308ffa76aeb9e1c884c66d9e636a,2,voucher,1,1692.64
ord_0dff42011388727784f32b860a6c,1,paypal,1,2508.47
ord_aad522f0dc3b204df7a84b9e2000,1,voucher,1,1009.79
ord_c18cabcfb082a68d424451bedf23,1,boleto,1,3293.35
ord_efea048e582c985440831e6e4a77,1,credit_card,3,333.82
ord_eee08c490c79e5a498e4710fedf3,1,voucher,1,4374.42
ord_4184fe97b065e79ae28933811863,1,voucher,1,596.85
ord_2c9c503ddfbd4e869c63cdfddd3f,1,mercado_pago,12,214.44
ord_39e7f3b40e833901d8d2b86e7e0b,1,voucher,1,2558.13
ord_2c968e36dcc1260ebfb7c729f9fc,1,voucher,1,3073.1
ord_b2246b27fff6731bf58463a90742,1,paypal,1,4770.7
ord_9b663176997a830d5d0540f88eb7,1,mercado_pago,3,2386.88
ord_82458611e45ce4345bf6be65f9ec,1,debit_card,1,2950.33
ord_caea1a0c04ccca0ce693ebc73779,1,debit_card,1,4502.68
ord_4b066317ad949b3fbe2886cf9ae8,1,boleto,1,1700.24
ord_60ef19e7d914a90ef6bd838b2255,1,voucher,1,2450.28
ord_55fc84da3bbfa8ccc3746cfde96a,1,paypal,1,3823.04
ord_e53cc31a2e78c9c09c401a4d64ec,1,debit_card,1,3225.27
ord_0598b0047e16b79208de713304e1,1,voucher,1,2866.54
ord_44fa55fb8cd8e5b05e386bcf839c,1,voucher,1,3590.06
ord_2e0a668a7592f388b0653c63e90b,1,debit_card,1,1191.15
ord_8b4c68f9067bdb0bb0c0b48c16ca,1,mercado_pago,3,2741.8
ord_74de5f4222dc86bf186f8494e118,1,mercado_pago,1,412.32
ord_53d4dde218d873268784b4e57e58,1,paypal,1,837.57
ord_854961b71d334d8709cc8b113a7c,1,voucher,1,2016.02
ord_10a37f7f48c61657e7bdba4a705a,1,boleto,1,4491.8
ord_1c0620708d40848a734473c5bfd7,1,voucher,1,4271.16
ord_ca864cb5de557e7214aa26013cd7,1,debit_card,1,3386.8
ord_9a69775727204fe241ebf8b816ed,1,voucher,1,4458.27
ord_76bf5ffa93ac8b6432d7e7f27920,1,mercado_pago,6,693.71
ord_08b9f721a1d51d3332c04343c724,1,mercado_pago,3,3413.92
ord_302f2d66fd495cff49273edc574e,1,credit_card,1,1255.03
ord_302f2d66fd495cff49273edc574e,2,debit_card,1,1814.14
ord_7b737c0ef5c8534a040219ba75bb,1,boleto,1,1735.66
ord_9a6b8612e187facc901103525f98,1,paypal,1,1114.85
ord_9a6b8612e187facc901103525f98,2,voucher,1,2410.46
ord_fa88245279ee4db0bd8f2ce459ef,1,credit_card,3,2863.16
ord_c4c97f84ba50f9f3aaa4ab714740,1,credit_card,3,1668.0
ord_33eca621be5e158d5532a8702617,1,mercado_pago,1,1916.01
ord_bcf7c721a65110315e3458bb9cd6,1,boleto,1,3621.67
ord_04ad54b04d9327adace06ec5e6fb,1,voucher,1,1879.39
ord_81332c38896bf66080f9bf5371aa,1,voucher,1,2955.03
ord_a82234085587185eab6bf31d6888,1,debit_card,1,3142.62
ord_386a22a55475bbb6f735dd38e890,1,paypal,1,571.38
ord_eb5565f50fc42c1a7a7aabb1b86b,1,voucher,1,3738.06
ord_3e0ae136251243a44e36b696b7eb,1,boleto,1,1732.35
ord_6fc62781ac5a304514b1d64ef87b,1,credit_card,12,530.02
ord_e0ad507639f75634225d62ec8141,1,boleto,1,3363.0
ord_b6794d42a5ef47008de3b00b0779,1,boleto,1,729.58
ord_e14594224f34e905ea6f380c3d53,1,paypal,1,868.56
ord_da5fd115323ef829157cc83f6a3b,1,boleto,1,2523.33
ord_b93440b429f059c030ff7c7484d7,1,boleto,1,2852.59
ord_23a57e8831b12656080b21d08905,1,credit_card,2,1834.25
ord_f1180906dc77ccb4e0963c9f15d1,1,boleto,1,4438.08
ord_69d00df81137efb9f8e856dc3a84,1,voucher,1,1763.02
ord_f47d559a4b317581eeb546575a4d,1,paypal,1,2382.45
ord_5630e33d0f7197acc086283411f5,1,voucher,1,1292.31
ord_a87fb6075d431d152696296c82c4,1,mercado_pago,1,4929.79
ord_bb2049172cd30458f974d9fa31bd,1,paypal,1,1928.91
ord_61296fd9b0224971ad258b078dc2,1,mercado_pago,1,3340.81
ord_919c620aff8db00efdf7c1455d09,1,boleto,1,2608.98
ord_e9a1eb8228008c88fcf574684c91,1,mercado_pago,3,628.55
ord_783f06695187fbc46e1d968f07e3,1,voucher,1,1400.83
ord_839fff085be71c21de3e9ab3473a,1,paypal,1,3520.92
ord_684903345ccb58b28ed8e41ccc4a,1,paypal,1,2034.73
ord_7654aabcef3582943dc2d68f6557,1,voucher,1,4950.24
ord_b76cc57c61bc8e0a7b9005867c88,1,mercado_pago,3,762.23
ord_092ddf1a3ef1941eed2ad9c1d176,1,credit_card,6,554.37
ord_092ddf1a3ef1941eed2ad9c1d176,2,credit_card,1,1708.67
ord_2c7d97445125944c60b8ccc57710,1,paypal,1,4291.03
ord_5df74dbfb67a1ac8ac9430105cc2,1,boleto,1,2769.75
ord_f8d37689f28ec6a047278cf2655c,1,voucher,1,4464.71
ord_2ba97a92203509c4e4ec3b1f5c20,1,mercado_pago,12,616.51
ord_ccd32304b6f531e4cd24c1a1821a,1,boleto,1,262.28
ord_04c97a12ee21186c2788dd814f73,1,voucher,1,2913.78
ord_43d148822efc4ebdc736067b45ca,1,paypal,1,2841.24
ord_757887b07179db2cb783039d0df9,1,credit_card,12,3255.06
ord_c6e0e2dc5d3bcd4257c09a23700e,1,voucher,1,2889.67
ord_c5102bc369e6653aa497370cde4a,1,voucher,1,4169.77
ord_4b6ae58cc6b30eaeb5e91fa6067b,1,credit_card,6,3149.33
ord_45afe36fa7bfc4d1de76ef42269c,1,credit_card,2,2479.57
ord_a575f689790db85b704fcc1fc041,1,boleto,1,2921.18
ord_1c07e912ab2c7a5176320973984a,1,paypal,1,3130.02
ord_b79d57f7daeac69a04c74948fc2a,1,voucher,1,3172.42
ord_6164802c3ad585819287afdfa31b,1,credit_card,3,1821.73
ord_fcc7d3f6d6fdf3f798aa1b340121,1,mercado_pago,6,4408.38
ord_f207e20ce53ad2229215280fd237,1,paypal,1,2461.5
ord_a6fba40100031556b5f484336589,1,voucher,1,2037.69
ord_a6fba40100031556b5f484336589,2,voucher,1,1258.52
ord_37911b82cbd35809d30a981a7a0a,1,mercado_pago,2,932.83
ord_1db99f3f61ef149d940765c54e51,1,debit_card,1,1577.21
ord_1e906660e7d0d3f4a0ef4723e3f9,1,boleto,1,2469.11
ord_d82bfa0b1d058ae7f45a53982bc2,1,credit_card,6,1075.7
ord_d82bfa0b1d058ae7f45a53982bc2,2,credit_card,1,1717.52
ord_e71f499fff2b087b562c4671cfcc,1,credit_card,2,1550.66
ord_9d0e719da1d66b549d0da34dc8da,1,debit_card,1,2364.08
